50
0.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
0.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
1.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
1.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
2.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
2.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
2.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
3.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
3.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
4.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
4.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
4.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
5.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
5.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
6.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
6.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
6.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
7.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
7.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
8.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
8.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
8.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
8.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
8.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
9.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
9.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
9.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
10.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
10.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
11.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
11.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
11.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
12.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
12.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
13.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
13.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
13.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
14.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
14.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
15.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
15.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
15.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
16.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
16.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
17.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
17.5 0.00 0.00 0.00 10.00 1.00 0.00 3.00
17.9 0.00 0.00 0.00 10.00 1.00 0.00 3.00
18.3 0.00 0.00 0.00 10.00 1.00 0.00 3.00
18.7 0.00 0.00 0.00 10.00 1.00 0.00 3.00
19.1 0.00 0.00 0.00 10.00 1.00 0.00 3.00
